
================================================================================
Training session started at: 2025-06-11T14:16:08.008139
Configuration: epochs=30, batch_size=64, lr=0.0001
Preprocessed data: /data2/xxw_data/projects/LLM/coconut/data/gsm_train_embeddings_optimized_debug.pkl
================================================================================
Step	Epoch	Loss		Learning_Rate	Timestamp
--------------------------------------------------------------------------------

================================================================================
Training session started at: 2025-06-11T14:16:08.211804
Configuration: epochs=30, batch_size=64, lr=0.0001
Preprocessed data: /data2/xxw_data/projects/LLM/coconut/data/gsm_train_embeddings_optimized_debug.pkl
================================================================================
Step	Epoch	Loss		Learning_Rate	Timestamp
--------------------------------------------------------------------------------
63	8	198.5639		0.000100		14:50:54
63	8	170.0441		0.000100		14:50:54
64	8	171.5273		0.000100		14:51:20
64	8	254.7661		0.000100		14:51:20
65	9	172.0927		0.000100		14:52:44
65	9	189.9083		0.000100		14:52:44
66	9	188.6286		0.000100		14:53:07
66	9	160.9785		0.000100		14:53:07
67	9	165.0806		0.000100		14:53:37
67	9	212.6971		0.000100		14:53:37
68	9	160.2125		0.000100		14:54:04
68	9	180.2071		0.000100		14:54:04
69	9	157.9160		0.000100		14:54:27
69	9	208.7829		0.000100		14:54:27
70	9	159.6105		0.000100		14:54:50
70	9	156.6979		0.000100		14:54:50
71	9	181.2928		0.000100		14:55:17
71	9	146.6684		0.000100		14:55:17
72	9	148.8756		0.000100		14:55:43
72	9	163.3537		0.000100		14:55:43
73	10	178.5881		0.000100		14:57:05
73	10	130.1754		0.000100		14:57:05
74	10	172.1983		0.000100		14:57:31
74	10	161.5863		0.000100		14:57:31
75	10	163.2068		0.000100		14:57:58
75	10	141.1492		0.000100		14:57:58
76	10	148.9727		0.000100		14:58:25
76	10	169.6423		0.000100		14:58:25
77	10	132.2353		0.000100		14:58:45
77	10	147.5150		0.000100		14:58:45
78	10	160.9904		0.000100		14:59:09
78	10	197.2681		0.000100		14:59:09
79	10	143.8661		0.000100		14:59:38
79	10	140.9977		0.000100		14:59:38
80	10	148.5006		0.000100		15:00:02
80	10	182.4116		0.000100		15:00:02
81	11	133.1212		0.000100		15:01:24
81	11	151.6182		0.000100		15:01:24
82	11	147.5919		0.000100		15:01:48
82	11	127.9058		0.000100		15:01:48
83	11	125.8758		0.000100		15:02:14
83	11	178.9098		0.000100		15:02:14
84	11	132.8501		0.000100		15:02:37
84	11	148.9911		0.000100		15:02:37
85	11	186.8390		0.000100		15:03:04
85	11	136.3232		0.000100		15:03:04
86	11	130.6211		0.000100		15:03:27
86	11	150.2450		0.000100		15:03:27
87	11	142.8983		0.000100		15:03:57
87	11	133.4540		0.000100		15:03:57
88	11	137.5791		0.000100		15:04:23
88	11	182.7563		0.000100		15:04:23
89	12	143.3949		0.000100		15:05:44
89	12	135.9441		0.000100		15:05:44
90	12	133.3873		0.000100		15:06:07
90	12	180.6678		0.000100		15:06:07
